,cerrado,mata_nebular,mata_riparia,mata_rupicola,mata_seca,mata_semidecidua
Cordia_ecalyculata,0,0,1,0,0,1
Cordia_fusca,0,0,0,0,0,1
Cordia_glabrata,0,0,0,0,1,0
Cordia_incognita,0,0,0,0,1,0
Cordia_magnoliifolia,0,0,0,0,0,1
Cordia_nodosa,0,0,0,0,0,1
Cordia_sellowiana,0,1,1,0,0,1
Cordia_silvestris,0,0,0,1,0,0
Cordia_superba,0,0,1,0,0,1
Cordia_trichoclada,0,0,0,0,0,1
Cordia_trichotoma,0,0,0,0,1,1
Cordiera_concolor,0,1,1,1,0,1
Cordiera_elliptica,1,1,0,1,0,1
Cordiera_rigida,0,1,1,1,0,0
Cordiera_sessilis,1,1,1,0,0,1
Cordiera_stipulacea,0,0,0,1,0,0
Cordiera_vinosa,1,1,0,1,0,1
Couepia_grandiflora,1,0,0,0,0,0
Couepia_rufa,0,0,0,0,0,1
Couepia_uiti,0,0,0,0,0,1
Couepia_venosa,0,0,0,0,0,1
Coussapoa_microcarpa,0,0,0,1,0,1
Coussarea_congestiflora,0,0,0,1,0,1
Coussarea_contracta,0,1,0,1,0,0
Coussarea_graciliflora,0,0,0,1,0,0
Coussarea_hydrangeifolia,1,0,1,0,0,1
Coussarea_nodosa,0,1,0,0,0,0
Coussarea_verticillata,0,0,0,0,0,1
Coutarea_hexandra,0,1,1,0,1,1
Critoniopsis_stellata,0,0,0,1,0,0
Croton_celtidifolius,0,1,0,1,0,1
Croton_echinocarpus,0,1,0,1,0,1
Croton_floribundus,0,1,0,0,0,1
Croton_lagoensis,0,0,0,1,0,0
Croton_piptocalyx,0,0,0,0,0,1
Croton_plagiograptus,0,0,0,1,0,0
Croton_pseudopopulus,0,0,0,1,0,0
Croton_rottlerifolius,0,0,0,1,0,0
Croton_salutaris,0,1,0,1,0,0
Croton_urucurana,0,0,1,1,0,1
Croton_vulnerarius,0,0,0,1,0,0
Cryptocarya_mandioccana,0,1,0,1,0,1
Cryptocarya_micrantha,0,0,0,1,0,1
Cryptocarya_moschata,0,1,1,1,0,1
Cryptocarya_saligna,0,0,0,0,0,1
Cryptocarya_sellowiana,0,0,0,0,0,1
Cupania_emarginata,0,0,0,0,0,1
Cupania_ludowigii,0,1,0,0,0,1
Cupania_oblongifolia,0,0,0,1,0,1
Cupania_paniculata,1,0,0,0,0,1
Cupania_platycarpa,0,0,1,0,1,1
Cupania_racemosa,0,1,0,0,0,1
Cupania_radlkoferi,0,0,0,0,0,1
Cupania_rugosa,0,0,0,0,0,1
Cupania_tenuivalvis,0,0,0,0,0,1
Cupania_vernalis,0,1,1,0,0,1
Cupania_zanthoxyloides,0,1,0,1,0,1
Curatella_americana,1,0,0,0,0,0
Cyathea_atrovirens,0,0,0,1,0,1
Cyathea_corcovadensis,0,1,0,1,0,1
Cyathea_delgadii,0,1,1,1,0,1
Cyathea_dichromatolepis,0,1,0,0,0,1
Cyathea_gardneri,0,1,0,1,0,1
Cyathea_hirsuta,0,0,0,1,0,0
Cyathea_leucofolis,0,1,0,1,0,1
Cyathea_microdonta,0,0,0,0,0,1
Cyathea_phalerata,0,1,1,1,0,1
Cyathea_poeppigii,0,1,0,1,0,0
Cyathea_rufa,0,1,0,0,0,1
Cyathea_villosa,1,1,0,1,0,1
Cybianthus_fuscus,0,1,0,1,0,0
Cybianthus_minutiflorus,0,0,1,0,0,0
Cybianthus_peruvianus,0,1,0,1,0,1
Cybianthus_prieurii,0,0,0,0,0,1
Cybianthus_psychotriifolius,0,0,0,1,0,0
Cybianthus_regnelii,0,0,0,1,0,0
Cybistax_antisyphilitica,1,0,1,0,0,1
Cyclolobium_brasiliense,0,0,0,0,0,1
Cymbopetalum_brasiliense,0,0,0,0,0,1
Dahlstedtia_muehlbergiana,0,0,0,0,0,1
Dalbergia_brasiliensis,0,0,0,0,0,1
Dalbergia_cearensis,0,0,0,0,1,0
Dalbergia_foliolosa,0,1,1,1,1,1
Dalbergia_glaucescens,1,0,0,1,0,0
Dalbergia_miscolobium,1,0,0,0,0,0
Dalbergia_nigra,0,0,0,0,0,1
Dalbergia_villosa,0,1,1,0,0,1
Daphnopsis_brasiliensis,0,1,0,0,0,1
Daphnopsis_coriacea,0,1,0,1,0,1
Daphnopsis_fasciculata,1,1,1,1,0,1
Daphnopsis_racemosa,0,0,0,0,0,1
Daphnopsis_utilis,0,1,0,1,0,1
Dasyphyllum_brasiliense,0,1,0,1,0,1
Dasyphyllum_spinescens,0,0,0,1,0,0
Davilla_elliptica,1,0,0,0,0,0
Davilla_grandiflora,1,0,0,0,0,0
Deguelia_costata,0,0,1,0,0,1
Deguelia_hatschbachii,0,1,0,0,0,0
Dendropanax_cuneatus,0,0,1,1,0,1
Dicksonia_sellowiana,0,1,0,1,0,1
Dictyoloma_vandellianum,0,1,1,1,0,1
Dilodendron_bipinnatum,1,0,0,0,1,1
Dimorphandra_exaltata,0,0,0,0,0,1
Dimorphandra_mollis,1,0,0,0,0,0
Diospyros_hispida,1,0,1,0,1,1
Diospyros_inconstans,0,0,1,0,1,1
Diospyros_ketun,0,0,0,0,0,1
Diospyros_sericea,1,0,1,1,0,1
Diplotropis_ferruginea,0,0,0,1,0,1
Dipteryx_alata,0,0,0,0,1,0
Diptychandra_aurantiaca,1,0,0,0,0,0
Dodonaea_viscosa,1,0,0,1,0,1
Drimys_brasiliensis,1,1,0,1,0,1
Duguetia_lanceolata,0,0,1,0,0,1
Dulacia_pauciflora,0,0,0,0,0,1
Emmotum_nitens,1,0,1,1,0,1
Endlicheria_glomerata,0,0,0,0,0,1
Endlicheria_paniculata,0,1,1,1,0,1
Enterolobium_contortisiliquum,0,0,1,0,1,1
Enterolobium_gummiferum,1,0,0,0,0,0
Eremanthus_brevifolius,0,0,0,1,0,0
Eremanthus_capitatus,1,0,0,0,0,1
Eremanthus_crotonoides,1,0,0,0,0,1
Eremanthus_elaeagnus,1,0,0,1,0,1
Eremanthus_erythropappus,1,1,0,1,0,1
Eremanthus_glomerulatus,1,1,1,1,0,1
Eremanthus_goyazensis,1,0,0,0,0,0
Eremanthus_incanus,1,1,0,1,0,1
Eremanthus_mattogrossensis,1,0,0,0,0,0
Eremanthus_polycephalus,1,0,0,0,0,0
Eriotheca_candolleana,0,0,1,0,0,1
Eriotheca_gracilipes,1,0,0,0,0,0
Eriotheca_macrophylla,0,0,0,0,0,1
Eriotheca_parvifolia,1,0,0,0,0,0
Eriotheca_pubescens,1,0,0,0,0,0
Erythrina_crista.galli,1,1,0,0,0,0
Erythrina_falcata,0,1,0,0,0,1
Erythrina_speciosa,0,1,0,0,0,1
Erythrina_velutina,0,0,0,0,1,0
Erythrina_verna,0,0,0,0,0,1
Erythroxylum_amplifolium,1,1,0,1,0,1
Erythroxylum_buxus,0,0,0,0,0,1
Erythroxylum_citrifolium,0,0,1,0,1,1
Erythroxylum_cuneifolium,0,1,0,1,1,1
Erythroxylum_daphnites,1,0,1,0,0,1
Erythroxylum_deciduum,1,0,1,0,0,1
Erythroxylum_frangulifolium,0,0,0,1,0,0
Erythroxylum_maracasense,1,0,0,0,0,0
Erythroxylum_pelleterianum,0,0,1,1,1,1
Erythroxylum_pulchrum,0,0,0,0,0,1
Erythroxylum_revolutum,0,0,0,0,1,0
Erythroxylum_suberosum,1,0,0,0,0,0
Erythroxylum_subracemosum,1,0,1,0,1,0
Erythroxylum_subrotundum,1,0,0,0,0,1
Erythroxylum_tortuosum,1,0,0,0,0,0
Escallonia_chlorophylla,1,1,0,1,0,0
Escallonia_hispida,1,1,0,1,0,0
Esenbeckia_febrifuga,0,1,1,0,0,1
